ID,Year,Round,FuelFactor
1,2023,1,0.0770752183754545
2,2023,2,
3,2023,3,
4,2023,4,
5,2023,5,
6,2023,6,
7,2023,7,0.0543782085682997
8,2023,8,0.0491321067057021
9,2023,9,0.0421723017427245
10,2023,10,0.0434567307692307
11,2023,11,0.0505376297830592
12,2023,12,0.0963948987762176
13,2023,13,0.0636748019864219
14,2023,14,0.0327577748510685
15,2023,15,0.0573654014918823
17,2023,17,0.0894546600764431
18,2023,18,0.0709802254971819
19,2023,19,0.0367656021785799
20,2023,20,0.0435293787594182
21,2023,21,0.1016370083173921
22,2023,22,0.058511746361706422
23,2021,1,0.053815397236897426
24,2021,2,
25,2021,3,
26,2021,4,0.056892783895299864
27,2021,5,
28,2021,6,0.06097765030913549
29,2021,7,0.06309765625
30,2021,8,
31,2021,9,0.044900814548611674
32,2021,10,
33,2021,11,
34,2021,12,
35,2021,13,
36,2021,14,
37,2021,15,
38,2021,16,
39,2021,17,0.06427255337755731
40,2021,18,
41,2021,19,0.041762944961924925
42,2021,20,0.07113811069889879
43,2021,21,
44,2021,22,0.073751014913443
45,2024,1,0.07159325297758017
46,2024,2,
47,2024,3,0.050017281925914564
48,2023,16,0.07274283509761902
